WKT,nome,descrizione
"POLYGON ((12.2472946 41.7965771, 12.2473925 41.7963751, 12.2474743 41.7963861, 12.2474837 41.7964201, 12.2474193 41.7964761, 12.2473965 41.7965351, 12.2474073 41.7965851, 12.2473764 41.7966101, 12.2472946 41.7965771))",caffe-vergnano-restaurant,
"POLYGON ((12.2479691 41.7960471, 12.2479852 41.7960161, 12.2480684 41.7960341, 12.2480496 41.7960671, 12.2479691 41.7960471))",borsalino-luxury-shop,
"POLYGON ((12.2468264 41.7973401, 12.2468713 41.7972416, 12.2469457 41.7972636, 12.2468954 41.7973581, 12.2468264 41.7973401))",illy-caffe-restaurant,
"POLYGON ((12.2472508 41.7974876, 12.2472025 41.7974686, 12.2471958 41.7974396, 12.2472253 41.7974076, 12.2472884 41.7973926, 12.2472897 41.7974196, 12.2472508 41.7974876))",relay-retail-shop,
"POLYGON ((12.2414009 41.7962397, 12.2413942 41.7962127, 12.2414143 41.7961737, 12.2414988 41.7961707, 12.2415296 41.7962446, 12.2414988 41.7962946, 12.2414009 41.7962397))",motta-restaurant,
"POLYGON ((12.2418876 41.7958767, 12.2418225 41.7957947, 12.241899 41.7957662, 12.2419473 41.7957957, 12.2419734 41.7958372, 12.2418876 41.7958767))",wine-food-restaurant,
"POLYGON ((12.2480859 41.7946828, 12.2481047 41.7946398, 12.2483796 41.7946888, 12.2483045 41.7947778, 12.2480859 41.7946828))",alea-duty-free-retail-shop,
"POLYGON ((12.2497116 41.7952504, 12.2497606 41.7952, 12.2498625 41.7952644, 12.2498122 41.7952989, 12.2497116 41.7952504))",swatch-retail-shop,
"POLYGON ((12.2494283 41.7947368, 12.2494639 41.7947013, 12.2495685 41.7947503, 12.2495282 41.7947853, 12.2494283 41.7947368))",cioccolatini-italiani-retail-shop,
"POLYGON ((12.2513823 41.7959811, 12.2514185 41.7959291, 12.251507 41.7959616, 12.2514681 41.7959956, 12.2513823 41.7959811))",palma-rome-restaurant,
"POLYGON ((12.2514605 41.7954834, 12.2515315 41.7954134, 12.2516791 41.7954874, 12.2515852 41.7955504, 12.2514605 41.7954834))",natoo-restaurant,
"POLYGON ((12.2516277 41.7958468, 12.2516659 41.7958149, 12.2517189 41.7958194, 12.251747 41.7958443, 12.2517195 41.7958638, 12.2516277 41.7958468))",caffe-napoli-restaurant,
"POLYGON ((12.2519489 41.7960773, 12.2520562 41.7958383, 12.2521594 41.7958693, 12.2520575 41.7960993, 12.2519489 41.7960773))",feltrinelli-retail-shop,
"POLYGON ((12.2560271 41.7978726, 12.2560083 41.7978336, 12.2560928 41.7978121, 12.256127 41.7978521, 12.2560667 41.7978771, 12.2560271 41.7978726))",gusto restaurant,
"POLYGON ((12.2559929 41.797997, 12.2559332 41.7979066, 12.2560566 41.7978671, 12.2561015 41.7979365, 12.2559929 41.797997))",natoo-restaurant,
"POLYGON ((12.2549785 41.7967156, 12.2549477 41.7966147, 12.2550322 41.7965777, 12.2551069 41.7966608, 12.2549785 41.7967156))",rinaldini-restaurant,
"POLYGON ((12.2521831 41.7981474, 12.2520758 41.7979735, 12.2523145 41.7978875, 12.2524674 41.7980034, 12.2524701 41.7981194, 12.2521831 41.7981474))",antica-focacceria-restaurant,
"POLYGON ((12.2553833 41.7973007, 12.2555227 41.7972567, 12.2556045 41.7973937, 12.2554664 41.7974367, 12.2553833 41.7973007))",culto-caffe-restaurant,
"POLYGON ((12.25291 41.7991232, 12.2528483 41.7989612, 12.2530039 41.7989153, 12.2531511 41.799001, 12.253189 41.7990952, 12.25291 41.7991232))",moka-caffe-restaurant,
"POLYGON ((12.2499664 41.79518, 12.2499993 41.7951445, 12.2500704 41.795171, 12.2500395 41.7952025, 12.2499664 41.79518))",louis-vitton-luxury-shop,
"POLYGON ((12.2488872 41.7951219, 12.2490146 41.7949619, 12.2492788 41.7951149, 12.2491729 41.7952269, 12.2490817 41.7951899, 12.2489797 41.7952919, 12.2489234 41.7952639, 12.2489315 41.7952349, 12.2488872 41.7951219))",autogrill-restaurant,
"POLYGON ((12.2582348 41.7956934, 12.2581932 41.7956154, 12.2583287 41.7955764, 12.2583769 41.7956744, 12.2582348 41.7956934))",panella-restaurant,
"POLYGON ((12.2536766 41.7964472, 12.2536377 41.7964013, 12.2536712 41.7963783, 12.2537799 41.7963783, 12.253863 41.7963753, 12.2538724 41.7964083, 12.2538335 41.7964372, 12.2536766 41.7964472))",bottega-veneta-luxury-store,
"POLYGON ((12.2493462 41.7957288, 12.2493801 41.7957115, 12.2494079 41.795722, 12.2494129 41.795736, 12.2493834 41.795747, 12.249371 41.7957443, 12.2493462 41.7957288))",burberry-luxury-store,
"POLYGON ((12.2500428 41.7963505, 12.2500569 41.7963322, 12.2500773 41.7963167, 12.2501095 41.796335, 12.2501196 41.796349, 12.2501008 41.796362, 12.2500797 41.7963665, 12.2500428 41.7963505))",damiani-luxury-store,
"POLYGON ((12.2499124 41.7963565, 12.2498802 41.7963535, 12.2498426 41.796339, 12.2498628 41.7962995, 12.249909 41.7962725, 12.2499633 41.7962685, 12.249962 41.796304, 12.249966 41.796338, 12.2499124 41.7963565))",fendi-luxury-store,
"POLYGON ((12.2530701 41.7967549, 12.2530922 41.7967169, 12.2531103 41.7967009, 12.2531787 41.7967299, 12.2532136 41.7967609, 12.253172 41.7967829, 12.2531358 41.7967864, 12.2530701 41.7967549))",zegna-boutique-luxury-store,
