WKT,nome,descrizione
"LINESTRING (12.2570437 41.8001961, 12.2570598 41.8000841, 12.2570812 41.7999481, 12.2569954 41.7998242, 12.2569793 41.7995882, 12.2568988 41.7995002, 12.2567969 41.7992283, 12.2568023 41.7990404, 12.2569203 41.7988404, 12.256872 41.7986804, 12.2568452 41.7982765, 12.2567379 41.7981765, 12.2567337 41.7980193, 12.2566487 41.7978929)",Linea 16,
"LINESTRING (12.2560199 41.7971734, 12.2563518 41.7972529, 12.2565825 41.7973089, 12.2570814 41.7973969, 12.2573979 41.7974129, 12.2576661 41.7974169, 12.2579612 41.7974528, 12.2583796 41.7975128, 12.2586585 41.7974848, 12.2587658 41.7975208)",Linea 17,
"LINESTRING (12.2587658 41.7975208, 12.2590587 41.7977339, 12.2591735 41.7979008, 12.2594256 41.7982087, 12.2596778 41.7983967, 12.2597851 41.7986166, 12.2600372 41.7987846, 12.2601874 41.7990125, 12.2603537 41.7991365, 12.2605253 41.7992925, 12.2607185 41.7995244)",Linea 18,
"LINESTRING (12.2629904 41.7984772, 12.2629957 41.7981933, 12.2629796 41.7980853, 12.2629153 41.7979373, 12.2628294 41.7978174, 12.2626792 41.7976334, 12.2621964 41.7972015, 12.2619497 41.7970495, 12.2616654 41.7969135, 12.2614132 41.7967936, 12.2608661 41.7966216, 12.2605978 41.7965416, 12.2602921 41.7964696, 12.2599863 41.7964016, 12.2598307 41.7963376, 12.2596322 41.7963816, 12.2594284 41.7964336)",Linea 19,
"LINESTRING (12.2586905 41.7953033, 12.2593076 41.7953028, 12.2594954 41.7952268, 12.2596778 41.7952148, 12.2599782 41.7951668, 12.2603913 41.7950228, 12.2609223 41.7948908, 12.2611423 41.7947988, 12.2617377 41.7946749, 12.2620328 41.7944509, 12.2622366 41.7943909, 12.2626228 41.7943669)",Linea 20,
"LINESTRING (12.2631056 41.7949708, 12.2631432 41.7952188, 12.2631217 41.7953548, 12.2629984 41.7955947, 12.2628428 41.7956867)",Linea 21,
"LINESTRING (12.262308 41.795378, 12.2623133 41.7952981, 12.2624153 41.7951901, 12.2624957 41.7950501, 12.2625279 41.7949661, 12.2625494 41.7948061, 12.2626084 41.7947102, 12.2626459 41.7945502, 12.2626567 41.7944822, 12.2626228 41.7943669)",Linea 22,
"LINESTRING (12.2628605 41.7943342, 12.2632306 41.7943102, 12.2635793 41.7944022, 12.2640782 41.7944662, 12.2644001 41.7945942, 12.2647327 41.7945862, 12.2649741 41.7946942, 12.2652262 41.7947341)",Linea 23,
"LINESTRING (12.2521163 41.7929122, 12.2523102 41.7928919, 12.2524309 41.7928379, 12.2524872 41.7927979, 12.2525919 41.7927399, 12.2526348 41.7926859, 12.2525919 41.7926319, 12.2525087 41.7925999, 12.2524229 41.7925819, 12.2523665 41.7925599, 12.2523022 41.7925599, 12.2522298 41.7926259, 12.2521573 41.7926839, 12.2521117 41.7927519, 12.2520769 41.7928039, 12.2520661 41.7928439, 12.252042 41.7928899, 12.2519749 41.7929839, 12.2519428 41.7930159, 12.2519079 41.7930739, 12.2518918 41.7931499, 12.2518274 41.7932399, 12.2517175 41.7933318, 12.2516584 41.7934118, 12.251586 41.7934778, 12.2515351 41.7935378, 12.2514761 41.7935858, 12.25146 41.7936218, 12.2513768 41.7936938, 12.2513124 41.7937658, 12.2512668 41.7938358, 12.2511783 41.7939238, 12.2511086 41.7939778, 12.2510389 41.7940757, 12.2509825 41.7941277, 12.2509289 41.7942257, 12.250953 41.7942877, 12.2508565 41.7942197, 12.250776 41.7941857, 12.2507089 41.7941357, 12.250607 41.7941217, 12.2505426 41.7940597, 12.2503737 41.7939518, 12.2502288 41.7938738, 12.2501618 41.7938418, 12.2500196 41.7937638, 12.2498935 41.7937098, 12.2497702 41.7936318, 12.249569 41.7935678, 12.2494684 41.7935238, 12.2493591 41.7934138, 12.2493367 41.7933228, 12.2493201 41.7932294, 12.24936 41.7930666, 12.2492942 41.7930333, 12.2492291 41.7931246, 12.2491965 41.7932982, 12.2492446 41.793501, 12.2493438 41.7936464, 12.2494577 41.7937871, 12.2495844 41.7939254, 12.2498399 41.7942397)",Linea 24,
"LINESTRING (12.2515776 41.7953022, 12.2515508 41.7951982, 12.2515776 41.7951142, 12.2514113 41.7950462, 12.2512611 41.7949542, 12.2511538 41.7948982, 12.2510572 41.7948542, 12.2509499 41.7947743, 12.250789 41.7947063, 12.2506281 41.7946143, 12.2504403 41.7945063, 12.2502579 41.7944143, 12.2500702 41.7943103, 12.2499146 41.7942183, 12.2497483 41.7941344, 12.2495606 41.7940224, 12.2493889 41.7939184, 12.2492816 41.7937704, 12.2491368 41.7936384, 12.2489651 41.7934864, 12.2489705 41.7933065, 12.2489437 41.7931385, 12.2489651 41.7929905, 12.2490402 41.7928905, 12.2490724 41.7927665, 12.2491529 41.7925706, 12.2492387 41.7924626, 12.249287 41.7923506, 12.2493889 41.7922306, 12.2494747 41.7921066, 12.2496249 41.7919146, 12.2497537 41.7917747, 12.2499683 41.7916387, 12.2501506 41.7915267, 12.2504296 41.7914587, 12.2507032 41.7914507, 12.2509768 41.7915867, 12.2512933 41.7916467, 12.2514971 41.7917187, 12.2518565 41.7918027, 12.2521248 41.7918507, 12.2524573 41.7919106, 12.2527578 41.7919386, 12.2530152 41.7919306, 12.2533103 41.7919706, 12.2534605 41.7920826, 12.2536214 41.7921906, 12.2538521 41.7923026, 12.254013 41.7923426, 12.2543081 41.7923866, 12.2545817 41.7924706, 12.2547909 41.7924906, 12.2550537 41.7924986, 12.2553059 41.7925266, 12.2554829 41.7925666, 12.2555365 41.7926466, 12.2556224 41.7926906, 12.2557028 41.7927825, 12.255676 41.7928865, 12.2555419 41.7930145, 12.2554239 41.7931425, 12.2553327 41.7932705, 12.2551878 41.7934105, 12.2550591 41.7935384, 12.2549733 41.7936464, 12.2548391 41.7937104, 12.2547533 41.7938104, 12.2546246 41.7937984, 12.2545119 41.7937304, 12.2543778 41.7936704, 12.2542491 41.7935704, 12.2541096 41.7934745, 12.2539647 41.7934225, 12.2538199 41.7933105, 12.2536536 41.7932105, 12.2534605 41.7930945, 12.2533532 41.7931905, 12.2531708 41.7933745, 12.2529831 41.7935584, 12.2528704 41.7937224, 12.2526987 41.7938344, 12.2525646 41.7939984, 12.2524466 41.7941344, 12.2522696 41.7943063, 12.2521355 41.7944023, 12.2520604 41.7945303, 12.2519585 41.7946303, 12.2518297 41.7945743, 12.2516795 41.7944903, 12.2515025 41.7943803, 12.2514904 41.7943108, 12.2515749 41.7941813, 12.2517211 41.7940559, 12.2518746 41.7938911, 12.2519836 41.7937928, 12.2520354 41.7937276, 12.2519299 41.793661, 12.2519048 41.7933625)",Linea 25,
"LINESTRING (12.2544763 41.7952248, 12.2544132 41.7951395, 12.2542898 41.7951235, 12.2541557 41.7952115, 12.2539948 41.7952595, 12.2538285 41.7953275, 12.2536783 41.7952755, 12.2535334 41.7953195, 12.2534476 41.7954434, 12.2534154 41.7955314, 12.2532706 41.7955994, 12.2530882 41.7956194, 12.2529433 41.7956594, 12.2528843 41.7957994)",Linea 27,
"LINESTRING (12.2528843 41.7957994, 12.2528468 41.7957274, 12.2527931 41.7956514, 12.2526912 41.7956554, 12.2525571 41.7956474, 12.2524391 41.7956354, 12.2523291 41.7956134, 12.2522031 41.7955894, 12.2521065 41.7955454, 12.2519697 41.7955114, 12.2518436 41.7954554, 12.2517444 41.7954094, 12.2516344 41.7953435, 12.2515776 41.7953022)",Linea 28,
