WKT,nome,descrizione
"LINESTRING (12.2548719 41.7954187, 12.2549186 41.7954075, 12.2550074 41.7954617, 12.2550315 41.7955367, 12.254994 41.7955787, 12.2550838 41.7956037, 12.2550235 41.7956387)",Linea 13,
"LINESTRING (12.2546399 41.7955117, 12.2547056 41.7954907, 12.2547941 41.7955107, 12.2548666 41.7955517, 12.2549323 41.7955607, 12.2550154 41.7955567, 12.2551147 41.7955717, 12.255116 41.7956177, 12.255112 41.7956477, 12.2550436 41.7956557)",Linea 14,
"LINESTRING (12.2553856 41.7951938, 12.2554459 41.7951878, 12.2554781 41.7952458, 12.2555036 41.7953207, 12.2554698 41.7953485, 12.2554781 41.7953917, 12.2554513 41.7954177, 12.2553708 41.7954467, 12.2552984 41.7954877, 12.2552206 41.7954947, 12.2551764 41.7955207, 12.2551455 41.7955737, 12.2551576 41.7956187, 12.255124 41.7956737, 12.2550717 41.7956847)",Linea 15,
"LINESTRING (12.2551208 41.7949293, 12.2551328 41.7949823, 12.2551288 41.7950312, 12.2551637 41.7949833, 12.255216 41.7949603, 12.2552736 41.7949913, 12.2552307 41.7950182, 12.2552616 41.7950442, 12.2553005 41.7950972, 12.2553259 41.7951262, 12.2553555 41.7951652, 12.255389 41.7952032, 12.2554118 41.7952272)",Linea 16,
"LINESTRING (12.2551503 41.7953392, 12.25522 41.7953132, 12.2552294 41.7953572, 12.2551811 41.7954402, 12.2551114 41.7954932, 12.2550631 41.7955892, 12.2551221 41.7956611, 12.2550886 41.7957121)",Linea 17,
"LINESTRING (12.2541743 41.7955545, 12.2541349 41.7955568, 12.254096 41.7955658, 12.2540544 41.7955798, 12.2540142 41.7955928, 12.253986 41.7956038, 12.2539619 41.7956168, 12.2539444 41.7956338, 12.2539203 41.7956468, 12.2538962 41.7956578, 12.2538442 41.7956767, 12.253811 41.7956916, 12.2537796 41.7957014, 12.2537461 41.795715, 12.2537114 41.7957323, 12.2536742 41.7957528, 12.2536454 41.7957737)",Linea 19,
"LINESTRING (12.2541917 41.7955935, 12.2541429 41.7956038, 12.2541027 41.7956218, 12.254041 41.7956488, 12.2540102 41.7956658, 12.2539833 41.7956758, 12.2539538 41.7956948, 12.2539284 41.7957078, 12.2538988 41.7957198, 12.2538734 41.7957308, 12.2538519 41.7957398, 12.2538224 41.7957548, 12.2537942 41.7957697, 12.2537594 41.7957797, 12.2537124 41.7957867, 12.2536588 41.7957857)",Linea 20,
"LINESTRING (12.2542226 41.7956255, 12.2541858 41.7956488, 12.254159 41.7956668, 12.2541161 41.7956918, 12.2540826 41.7957048, 12.2540517 41.7957158, 12.2540249 41.7957298, 12.2539914 41.7957428, 12.2539579 41.7957578, 12.2539297 41.7957697, 12.2539069 41.7957847, 12.2538774 41.7958007, 12.2538506 41.7958087, 12.2538264 41.7958197, 12.2537956 41.7958237, 12.2537285 41.7958177, 12.253687 41.7958057, 12.2536615 41.7957947)",Linea 21,
"LINESTRING (12.2542713 41.7956752, 12.2542324 41.7956902, 12.254168 41.7957192, 12.2541305 41.7957432, 12.254101 41.7957582, 12.254058 41.7957752, 12.2540259 41.7957902, 12.253995 41.7958082, 12.2539332 41.7958374, 12.2538795 41.7958426, 12.2538311 41.795847, 12.2537717 41.7958417, 12.253704 41.7958372, 12.2536651 41.7958022)",Linea 22,
"LINESTRING (12.2543164 41.7957364, 12.2542874 41.7957472, 12.2542552 41.7957592, 12.2541935 41.7957852, 12.254164 41.7957972, 12.2541224 41.7958112, 12.2540902 41.7958322, 12.2540567 41.7958432, 12.2540326 41.7958602, 12.2539977 41.7958722, 12.2539709 41.7958852, 12.2539414 41.7959052, 12.2539052 41.7959062, 12.2538636 41.7959002, 12.2538166 41.7958872, 12.2537617 41.7958692, 12.2537241 41.7958412, 12.2536986 41.7958162, 12.2536615 41.7957947)",Linea 23,
"LINESTRING (12.2542713 41.7956752, 12.254286 41.7957122, 12.2542874 41.7957472, 12.2543008 41.7957872, 12.2542632 41.7958132, 12.2542203 41.7958352, 12.2541908 41.7958482, 12.2541452 41.7958672, 12.254105 41.7958882, 12.2540701 41.7959032, 12.2540379 41.7959172, 12.2540124 41.7959292, 12.2539736 41.7959492, 12.2539333 41.7959582, 12.2538904 41.7959612, 12.2538368 41.7959392, 12.2537791 41.7959032, 12.2537335 41.7958722, 12.2537026 41.7958492, 12.2536839 41.7958252, 12.2536651 41.7958022)",Linea 24,
"LINESTRING (12.2542226 41.7956255, 12.2542587 41.7956579, 12.2542842 41.7956849, 12.254303 41.7957119, 12.2543352 41.7957399, 12.2543553 41.7957679, 12.2543794 41.7957989, 12.2543379 41.7958259, 12.2542695 41.7958639, 12.2542587 41.7958939, 12.2542225 41.7959069, 12.2541783 41.7959249, 12.2541434 41.7959439, 12.2541032 41.7959609, 12.2540602 41.7959799, 12.254024 41.7960019, 12.2539717 41.7960179, 12.253902 41.7960189, 12.2538336 41.7959709, 12.25378 41.7959349, 12.2537424 41.7958869, 12.2537026 41.7958492, 12.2536651 41.7958022)",Linea 25,
"LINESTRING (12.2542089 41.7955947, 12.2542518 41.7956297, 12.2542974 41.7956677, 12.2543269 41.7957117, 12.2543739 41.7957587, 12.2544101 41.7958057, 12.2544154 41.7958537, 12.2543779 41.7958797, 12.2543055 41.7959127, 12.2542263 41.7959387, 12.2542961 41.7959357, 12.2542719 41.7959587, 12.2542371 41.7959717, 12.2541982 41.7959926, 12.2541526 41.7960216, 12.2541043 41.7960346, 12.2540681 41.7960546, 12.2540077 41.7960526, 12.2539273 41.7960366, 12.2538361 41.7959996, 12.2537744 41.7959187, 12.2537335 41.7958722, 12.2536751 41.7958107, 12.2536497 41.7957847)",Linea 26,
